Nodes,Edges,Latitude,Longitude
"Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan",35.021041,135.7556075
"Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan",35.021041,135.7556075
"State Key Laboratory for Superlattices and Microstructures, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",,39.9057136,116.3912972
"National Key Laboratory of High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China",,43.8844201,125.3180998
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","School of Engineering, University of Glasgow, Glasgow, U.K.",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","College of Materials Sciences and Opto-Electronic Technology, University of Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","College of Optoelectric Science and Engineering, National University of Defense Technology, Changsha, China",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Science and Technology on Electro-Optical Information Security Control Laboratory, Tianjin, China",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China",39.9057136,116.3912972
"School of Engineering, University of Glasgow, Glasgow, U.K.","Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",55.861155,-4.2501687
"School of Engineering, University of Glasgow, Glasgow, U.K.","Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",55.861155,-4.2501687
"School of Engineering, University of Glasgow, Glasgow, U.K.","Taiwan Semiconductor Manufacturing Company (TSMC) Research and Development Europe B.V., Leuven, Belgium",55.861155,-4.2501687
"School of Engineering, University of Glasgow, Glasgow, U.K.","Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan",55.861155,-4.2501687
"School of Engineering, University of Glasgow, Glasgow, U.K.","Ingram School of Engineering, Texas State University, San Marcos, TX, USA",55.861155,-4.2501687
"School of Engineering, University of Glasgow, Glasgow, U.K.","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China",55.861155,-4.2501687
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","School of Engineering, University of Glasgow, Glasgow, U.K.",39.9057136,116.3912972
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Beijing, China",39.9057136,116.3912972
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Bright Photonics BV, Maarssen, The Netherlands",39.9057136,116.3912972
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Institute of Physical Science and Engineering, Zhengzhou University, Zhengzhou, China",39.9057136,116.3912972
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Key Laboratory of Solid-State Optoelectronics Information Technology and the State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China",39.9057136,116.3912972
"Tyndall National Institute, University College Cork, Cork, Ireland",,51.897077,-8.4654674
"National Research Center for Optoelectronic Technology, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",,39.9057136,116.3912972
"Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China","Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",36.7071591,119.1557441
"Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Physics Department, University College Cork, Cork, Ireland",51.897077,-8.4654674
"Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674
"Physics Department, University College Cork, Cork, Ireland","Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",51.897077,-8.4654674
"Physics Department, University College Cork, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",53.3493795,-6.2605593
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Physics Department, University College Cork, Cork, Ireland",53.3493795,-6.2605593
"Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA","Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872
"Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA","Radiation Detection Technologies, Inc., Manhattan, KS, USA",38.27312,-98.5821872
"Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA","Radiation Detection Technologies, Inc., Manhattan, KS, USA",38.27312,-98.5821872
"Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA","Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872
"Radiation Detection Technologies, Inc., Manhattan, KS, USA","Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872
"Radiation Detection Technologies, Inc., Manhattan, KS, USA","Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872
"Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, China","Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972
"Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China","State Key Laboratory of Crystal Materials and the Institute of Novel Semiconductors, Shandong University, Jinan, China",31.4602714,104.7160723
"Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China","State Key Laboratory of Crystal Materials, and the Institute of Novel Semiconductors, Shandong University, Jinan, China",31.4602714,104.7160723
"State Key Laboratory of Crystal Materials, and the Institute of Novel Semiconductors, Shandong University, Jinan, China","Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China",36.6507007,117.1140042
"Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Bright Photonics, Maarssen, The Netherlands",39.9057136,116.3912972
"Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Fraunhofer Heinrich Hertz Institute, Berlin, Germany",39.9057136,116.3912972
"Fraunhofer Heinrich Hertz Institute, Berlin, Germany","Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",52.5170365,13.3888599
"Fraunhofer Heinrich Hertz Institute, Berlin, Germany","Bright Photonics, Maarssen, The Netherlands",52.5170365,13.3888599
"Bright Photonics, Maarssen, The Netherlands","Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",52.1384846,5.040082
"Bright Photonics, Maarssen, The Netherlands","Fraunhofer Heinrich Hertz Institute, Berlin, Germany",52.1384846,5.040082
"Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden","Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China",58.4098135,15.6245252
"Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden","Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China",58.4098135,15.6245252
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China","Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China","Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden",34.2607713,108.9423443
"Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China","Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden",34.2607713,108.9423443
"Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China","Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China",34.2607713,108.9423443
"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","College of Information Science and Engineering, Huaqiao University, Quanzhou, China",39.9057136,116.3912972
"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","State Key Laboratory on Integrated Optoelectronics, Department of Electronical Engineering, Tsinghua University, Beijing, China",39.9057136,116.3912972
"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","Department of Physics, Trinity College Dublin, Dublin, Ireland",39.9057136,116.3912972
"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","Department of Physics, Lanzhou University, Lanzhou, Gansu, China",39.9057136,116.3912972
"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","Walter Schottky Institute, Technical University Munich, Garching, Germany",39.9057136,116.3912972
"Semiconductor Device Research Center, Matsushita Electric Industrial Company Limited, Semiconductor Company, Osaka, Japan","Research Center for Nano-Device and Systems, Nagoya Institute of Technology, Nagoya, Japan",34.6198813,135.490357
"Research Center for Nano-Device and Systems, Nagoya Institute of Technology, Nagoya, Japan","Semiconductor Device Research Center, Matsushita Electric Industrial Company Limited, Semiconductor Company, Osaka, Japan",35.1851045,136.8998438
"Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea","Department of Physics, Chungbuk National University, Cheongju, South Korea",37.1994653,126.8312632
"Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea","S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea",37.1994653,126.8312632
"Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea","Filter Business, Synopex Inc., Yongin, South Korea",37.1994653,126.8312632
"S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea","Department of Physics, Chungbuk National University, Cheongju, South Korea",37.2405741,127.1785572
"S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea","Filter Business, Synopex Inc., Yongin, South Korea",37.2405741,127.1785572
"S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea","Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea",37.2405741,127.1785572
"Filter Business, Synopex Inc., Yongin, South Korea","Department of Physics, Chungbuk National University, Cheongju, South Korea",37.2405741,127.1785572
"Filter Business, Synopex Inc., Yongin, South Korea","S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea",37.2405741,127.1785572
"Filter Business, Synopex Inc., Yongin, South Korea","Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea",37.2405741,127.1785572
"Department of Physics, Chungbuk National University, Cheongju, South Korea","S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea",36.6421169,127.4891742
"Department of Physics, Chungbuk National University, Cheongju, South Korea","Filter Business, Synopex Inc., Yongin, South Korea",36.6421169,127.4891742
"Department of Physics, Chungbuk National University, Cheongju, South Korea","Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea",36.6421169,127.4891742
"The Electrical Engineering Department, Tsinghua University, Beijing, China","The Nano-Optoelectronic Laboratory, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",39.9057136,116.3912972
"The Nano-Optoelectronic Laboratory, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","The Electrical Engineering Department, Tsinghua University, Beijing, China",39.9057136,116.3912972
"Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C","Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C",,
"Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C","Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C",,
"Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C","Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C",,
"Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C","Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C",,
"Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C","Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C",,
"Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C","Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C",,
