id,Target,Latitude,Longitude,Country
"Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan",35.021041,135.7556075,Japan
"Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan",35.021041,135.7556075,Japan
"State Key Laboratory for Superlattices and Microstructures, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",,39.9057136,116.3912972,China
"National Key Laboratory of High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China",,43.8844201,125.3180998,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","School of Engineering, University of Glasgow, Glasgow, U.K.",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","College of Materials Sciences and Opto-Electronic Technology, University of Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","College of Optoelectric Science and Engineering, National University of Defense Technology, Changsha, China",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Science and Technology on Electro-Optical Information Security Control Laboratory, Tianjin, China",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China",39.9057136,116.3912972,China
"School of Engineering, University of Glasgow, Glasgow, U.K.","Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",55.861155,-4.2501687,United Kingdom
"School of Engineering, University of Glasgow, Glasgow, U.K.","Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",55.861155,-4.2501687,United Kingdom
"School of Engineering, University of Glasgow, Glasgow, U.K.","Taiwan Semiconductor Manufacturing Company (TSMC) Research and Development Europe B.V., Leuven, Belgium",55.861155,-4.2501687,United Kingdom
"School of Engineering, University of Glasgow, Glasgow, U.K.","Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan",55.861155,-4.2501687,United Kingdom
"School of Engineering, University of Glasgow, Glasgow, U.K.","Ingram School of Engineering, Texas State University, San Marcos, TX, USA",55.861155,-4.2501687,United Kingdom
"School of Engineering, University of Glasgow, Glasgow, U.K.","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China",55.861155,-4.2501687,United Kingdom
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","School of Engineering, University of Glasgow, Glasgow, U.K.",39.9057136,116.3912972,China
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Beijing, China",39.9057136,116.3912972,China
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Bright Photonics BV, Maarssen, The Netherlands",39.9057136,116.3912972,China
"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","Institute of Physical Science and Engineering, Zhengzhou University, Zhengzhou, China",39.9057136,116.3912972,China
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Key Laboratory of Solid-State Optoelectronics Information Technology and the State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China",39.9057136,116.3912972,China
"Tyndall National Institute, University College Cork, Cork, Ireland",,51.897077,-8.4654674,Ireland
"National Research Center for Optoelectronic Technology, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",,39.9057136,116.3912972,China
"Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China","Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",36.7071591,119.1557441,China
"Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Physics Department, University College Cork, Cork, Ireland",51.897077,-8.4654674,Ireland
"Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674,Ireland
"Physics Department, University College Cork, Cork, Ireland","Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",51.897077,-8.4654674,Ireland
"Physics Department, University College Cork, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674,Ireland
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",53.3493795,-6.2605593,Ireland
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Physics Department, University College Cork, Cork, Ireland",53.3493795,-6.2605593,Ireland
"Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA","Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872,United States
"Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA","Radiation Detection Technologies, Inc., Manhattan, KS, USA",38.27312,-98.5821872,United States
"Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA","Radiation Detection Technologies, Inc., Manhattan, KS, USA",38.27312,-98.5821872,United States
"Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA","Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872,United States
"Radiation Detection Technologies, Inc., Manhattan, KS, USA","Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872,United States
"Radiation Detection Technologies, Inc., Manhattan, KS, USA","Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA",38.27312,-98.5821872,United States
"Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, China","Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",39.9057136,116.3912972,China
"Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China","State Key Laboratory of Crystal Materials and the Institute of Novel Semiconductors, Shandong University, Jinan, China",31.4602714,104.7160723,China
"Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China","State Key Laboratory of Crystal Materials, and the Institute of Novel Semiconductors, Shandong University, Jinan, China",31.4602714,104.7160723,China
"State Key Laboratory of Crystal Materials, and the Institute of Novel Semiconductors, Shandong University, Jinan, China","Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang, China",36.6507007,117.1140042,China
"Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Bright Photonics, Maarssen, The Netherlands",39.9057136,116.3912972,China
"Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","Fraunhofer Heinrich Hertz Institute, Berlin, Germany",39.9057136,116.3912972,China
"Fraunhofer Heinrich Hertz Institute, Berlin, Germany","Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",52.5170365,13.3888599,Germany
"Fraunhofer Heinrich Hertz Institute, Berlin, Germany","Bright Photonics, Maarssen, The Netherlands",52.5170365,13.3888599,Germany
"Bright Photonics, Maarssen, The Netherlands","Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",52.1384846,5.040082,Netherlands
"Bright Photonics, Maarssen, The Netherlands","Fraunhofer Heinrich Hertz Institute, Berlin, Germany",52.1384846,5.040082,Netherlands
"Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden","Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China",58.4098135,15.6245252,Sweden
