,Nodes,Edges,Latitude,Longitude
0,"Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","[""Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan""]",35.021041,135.7556075
1,"Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan","[""Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan""]",35.021041,135.7556075
2,"State Key Laboratory for Superlattices and Microstructures, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",[],39.9057136,116.3912972
3,"National Key Laboratory of High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China",[],43.8844201,125.3180998
4,"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","[""School of Engineering, University of Glasgow, Glasgow, U.K."", ""College of Materials Sciences and Opto-Electronic Technology, University of Chinese Academy of Sciences, Beijing, China"", ""State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""College of Optoelectric Science and Engineering, National University of Defense Technology, Changsha, China"", ""Science and Technology on Electro-Optical Information Security Control Laboratory, Tianjin, China"", ""State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China""]",39.9057136,116.3912972
5,"School of Engineering, University of Glasgow, Glasgow, U.K.","[""Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Taiwan Semiconductor Manufacturing Company (TSMC) Research and Development Europe B.V., Leuven, Belgium"", ""Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan"", ""Ingram School of Engineering, Texas State University, San Marcos, TX, USA"", ""State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China""]",55.861155,-4.2501687
6,"State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China","[""School of Engineering, University of Glasgow, Glasgow, U.K."", ""Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Beijing, China"", ""Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Bright Photonics BV, Maarssen, The Netherlands"", ""Institute of Physical Science and Engineering, Zhengzhou University, Zhengzhou, China""]",39.9057136,116.3912972
7,"Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China","[""Key Laboratory of Solid-State Optoelectronics Information Technology and the State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, China"", ""Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China""]",39.9057136,116.3912972
8,"Tyndall National Institute, University College Cork, Cork, Ireland",[],51.897077,-8.4654674
9,"National Research Center for Optoelectronic Technology, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China",[],39.9057136,116.3912972
10,"Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China","[""Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China""]",36.7071591,119.1557441
11,"Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","[""Physics Department, University College Cork, Cork, Ireland"", ""Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland""]",51.897077,-8.4654674
12,"Physics Department, University College Cork, Cork, Ireland","[""Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland"", ""Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland""]",51.897077,-8.4654674
13,"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","[""Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland"", ""Physics Department, University College Cork, Cork, Ireland""]",53.3493795,-6.2605593
14,"Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA","[""Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA"", ""Radiation Detection Technologies, Inc., Manhattan, KS, USA""]",38.27312,-98.5821872
15,"Electronics Design Laboratory, Kansas State University, Manhattan, KS, USA","[""Radiation Detection Technologies, Inc., Manhattan, KS, USA"", ""Semiconductor Materials and Radiological Technologies Laboratory, Kansas State University, Manhattan, KS, USA""]",38.27312,-98.5821872
