patent_title,IPC_1,IPC_2,IPC_3,IPC_4,inventor_countries,coords
Junction field effect transistor,B01J,H01L,,,"[""US""]","[[""28.1065"", ""-80.6372""]]"
Method for manufacturing compact thermoelectric modules,B01J,,,,"[""FR""]","[[""48.6992"", ""2.18746""], [""48.6992"", ""2.18746""]]"
Method and apparatus for selective burnout trimming of integrated circuit units,B01J,,,,[],"[[null, null], [null, null]]"
Method for manufacturing integrated circuits,B01J,,,,"[""FR""]","[[""45.1876"", ""5.73578""], [""45.2092"", ""5.7812""], [""45.1437"", ""5.71927""]]"
Process for attaching a lead member to a semiconductor device,B01J,,,,"[""US""]","[[""40.726"", ""-73.5145""], [""40.8534"", ""-73.4115""]]"
High temperature transducers and housing including fabrication methods,C03c,,,,"[""US""]","[[""40.8929"", ""-73.9726""], [""41.2443"", ""-74.5507""]]"
Silicon polishing solution preparation,C09K,,,,"[""US""]","[[""41.5966"", ""-73.9112""]]"
Conductivity connected charge-coupled device fabrication process,H01L,,,,"[""US""]","[[""33.4484"", ""-112.074""]]"
Stabilized superconductive wires,H01L,H01B,,,"[""US""]","[[""42.3632"", ""-71.3607""], [""42.3632"", ""-71.3607""]]"
Method of manufacturing a semiconductor device utilizing simultaneous outdiffusion during epitaxial growth,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Process for manufacturing integrated circuits and metallic mesh screens,B29C,C23F,,,"[""US""]","[[""42.3096"", ""-71.4413""]]"
THINNING SEMICONDUCTIVE SUBSTRATES,H01L,,,,"[""US""]","[[""40.3353"", ""-75.9279""]]"
Electrically insulating encapsulating composition for semiconductor devices,H01B,,,,[],"[[null, null]]"
Composition for diffusing phosphorus,H01B,H01L,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Solid diffusion sources for phosphorus doping containing silicon and zirconium pyrophosphates,H01B,C04B,H01L,,"[""US""]","[[""43.2475"", ""-79.0501""], [""43.0207"", ""-78.8784""]]"
Temperature compensated acoustic surface wave device,B05D,,,,"[""US""]","[[""42.3834"", ""-71.4162""], [""42.4473"", ""-71.2245""]]"
Scene brightness compensation system with charge transfer imager,H04N,H01L,,,"[""US""]","[[""40.4209"", ""-74.5607""]]"
Blooming control for charge coupled imager,H04N,H01L,,,"[""US""]","[[""40.4209"", ""-74.5607""]]"
Thermal print head,H05B,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null]]"
